eventID,droneID,startingLaunchpadIndexX,startingLaunchpadIndexY,shelfIndexX,shelfIndexY,followedBy,teleportToLaunchpadIndexX,teleportToLaunchpadIndexY,collidesWithNum
193,4,8,0,6,2,219,2,2,-1
194,7,5,1,2,2,225,3,0,-1
195,8,1,0,9,0,220,0,1,9
196,29,8,0,9,1,223,2,0,-1
197,20,3,1,4,0,-1,-1,-1,-1
198,21,4,2,4,3,-1,-1,-1,-1
199,14,8,1,8,0,-1,-1,-1,-1
200,24,6,0,9,2,-1,-1,-1,-1
201,11,0,0,1,3,-1,-1,-1,-1
202,15,1,2,4,1,-1,-1,-1,22
203,25,6,1,9,2,-1,-1,-1,-1
204,18,9,0,1,1,-1,-1,-1,-1
205,28,5,2,8,3,-1,-1,-1,-1
206,22,1,1,6,2,-1,-1,-1,15
207,19,6,1,0,3,-1,-1,-1,-1
208,27,4,1,5,2,-1,-1,-1,-1
209,6,2,1,5,3,-1,-1,-1,-1
210,23,8,1,7,0,-1,-1,-1,-1
211,16,6,1,7,0,-1,-1,-1,-1
212,13,9,0,6,1,-1,-1,-1,-1
213,5,2,0,3,1,-1,-1,-1,-1
214,26,7,2,6,0,-1,-1,-1,-1
215,0,9,2,7,1,-1,-1,-1,-1
216,1,9,1,8,2,-1,-1,-1,-1
217,2,1,0,8,2,-1,-1,-1,-1
218,12,4,2,9,2,-1,-1,-1,-1
219,4,2,2,1,2,-1,-1,-1,-1
220,8,0,1,2,0,-1,-1,-1,-1
221,17,5,2,2,1,-1,-1,-1,-1
222,9,7,2,2,0,-1,-1,-1,-1
223,29,2,0,7,0,-1,-1,-1,-1
224,3,8,0,0,1,-1,-1,-1,-1
225,7,3,0,8,2,-1,-1,-1,-1
226,10,3,1,4,2,-1,-1,-1,-1
